기관명,분류,검진실 전화번호,대표번호,도시,지역구,상세주소,관련 검진수,일반검진,위암검진,간암검진,대장암검진,유방암검진,우편번호,권역,위도(X),경도(Y),정렬용_지역키
영종이엠365의원,의원,032-752-1190,032-752-1190,인천광역시,중구,인천광역시 중구 하늘달빛로 84 4층 (중산동) ,1,TRUE,FALSE,FALSE,FALSE,FALSE,22402,수도권,126.558137572426,37.4867611463035,28_110
인천웰빙내과의원,내과의원,032-764-3800,032-764-3800,인천광역시,중구,인천광역시 중구 우현로 75 2층 (인현동) ,5,TRUE,TRUE,TRUE,TRUE,TRUE,22316,수도권,126.629728040158,37.4738886733891,28_110
예스율산부인과의원,의원,032-218-1007,032-218-1007,인천광역시,중구,인천광역시 중구 영종대로 184 3층 301호 (운서동) ,0,FALSE,FALSE,FALSE,FALSE,FALSE,22376,수도권,126.498778533214,37.4922653048347,28_110
영종속시원내과의원,내과의원,032-716-9575,032-716-9575,인천광역시,중구,인천광역시 중구 하늘중앙로 197 5층 501호 (중산동) ,5,TRUE,TRUE,TRUE,TRUE,TRUE,22397,수도권,126.560200332071,37.4898970282533,28_110
인천광역시의료원,종합병원,032-580-6020,032-580-6000,인천광역시,동구,인천광역시 동구 방축로 217,2,FALSE,TRUE,FALSE,FALSE,TRUE,22532,수도권,126.66866446432,37.4788152819121,28_140
의료법인 성수의료재단 인천백병원,종합병원,032-777-7050,032-765-7070,인천광역시,동구,인천광역시 동구 샛골로 214 (송림동) ,3,FALSE,TRUE,TRUE,FALSE,TRUE,22534,수도권,126.645831555171,37.4817134417858,28_140
황호연산부인과의원,의원,032-761-3222,032-773-3222,인천광역시,동구,인천광역시 동구 샛골로 188 (송림동),0,FALSE,FALSE,FALSE,FALSE,FALSE,22539,수도권,126.645572788335,37.4790499269138,28_140
권의원,의원,032-763-1110,032-763-1110,인천광역시,동구,인천광역시 동구 샛골로 142 (송림동),4,TRUE,TRUE,TRUE,TRUE,FALSE,22557,수도권,126.644643790508,37.4749681062736,28_140
연세성모의원,의원,032-772-0266,032-772-0266,인천광역시,동구,인천광역시 동구 화도진로 183 2층 (만석동),3,TRUE,TRUE,TRUE,FALSE,FALSE,22505,수도권,126.622686672979,37.4851677833245,28_140
연세제일의원,의원,032-765-6557,032-765-6557,인천광역시,동구,"인천광역시 동구 송림로 10 (금곡동, 연세제일의원)",5,TRUE,TRUE,TRUE,TRUE,TRUE,22554,수도권,126.636481177136,37.4729778226063,28_140
예나산부인과의원,의원,032-765-0050,032-765-0050,인천광역시,동구,"인천광역시 동구 송림로 96 601호 (송림동, 송림메디칼빌딩)",0,FALSE,FALSE,FALSE,FALSE,FALSE,22558,수도권,126.645332869664,37.4757748645249,28_140
동인천내과의원,내과의원,032-765-5676,032-765-5676,인천광역시,동구,"인천광역시 동구 송현로 1 104호 (송현동, 송현프라자)",5,TRUE,TRUE,TRUE,TRUE,TRUE,22549,수도권,126.633314009656,37.4770516618855,28_140
우리내과의원,내과의원,032-777-3601,032-777-3601,인천광역시,동구,"인천광역시 동구 송림로 91 3,4층 (송림동, 동우빌딩)",4,TRUE,TRUE,TRUE,TRUE,FALSE,22544,수도권,126.644966068833,37.4762651712176,28_140
굿모닝내과의원,내과의원,032-762-0971,032-762-0971,인천광역시,동구,"인천광역시 동구 송림로 76 1층, 3층 (송림동)",5,TRUE,TRUE,TRUE,TRUE,TRUE,22556,수도권,126.643292950632,37.4751086473293,28_140
박영훈내과의원,내과의원,032-762-0071,032-762-0071,인천광역시,동구,인천광역시 동구  송림로 113 3층 (송림동),1,TRUE,FALSE,FALSE,FALSE,FALSE,22545,수도권,126.647210996766,37.4769083654482,28_140
현대의원,의원,032-764-9090,032-764-9090,인천광역시,동구,인천광역시 동구 송림로 80 송림센트럴타워 2층 (송림동) ,1,TRUE,FALSE,FALSE,FALSE,FALSE,22556,수도권,126.643746673825,37.4753130127016,28_140
의료법인 인천사랑병원,종합병원,032-457-2811,032-457-2000,인천광역시,미추홀구,인천광역시 미추홀구 미추홀대로 726-0 인천사랑병원,5,TRUE,TRUE,TRUE,TRUE,TRUE,22135,수도권,126.680684289451,37.4621978586378,28_177
현대유비스병원,종합병원,032-890-5722,032-888-7575,인천광역시,미추홀구,인천광역시 미추홀구 독배로 503-0 현대유비스병원,4,FALSE,TRUE,TRUE,TRUE,TRUE,22173,수도권,126.643007135169,37.4616110690988,28_177
고은여성병원,병원,032-870-5000,032-870-5000,인천광역시,미추홀구,인천광역시 미추홀구 독배로 463 (숭의동) ,2,TRUE,FALSE,FALSE,FALSE,TRUE,22173,수도권,126.647103052428,37.4600706651499,28_177
의료법인 아인의료재단 아인병원,병원,032-459-5000,032-247-2000,인천광역시,미추홀구,"인천광역시 미추홀구 경인로 372 201동 지하1,지상3~12층 ,13층일부호 (주안동, 포레나 미추홀) ",5,TRUE,TRUE,TRUE,TRUE,TRUE,22148,수도권,126.681163207516,37.4580182017435,28_177
W(더블유)여성병원,병원,032-451-0000,032-451-0000,인천광역시,미추홀구,"인천광역시 미추홀구 인주대로 400 제일여성병원 2층 일부, 3-5층, 8층 (주안동)",2,TRUE,FALSE,FALSE,FALSE,TRUE,22227,수도권,126.681165120112,37.4509647448093,28_177
나누리병원,병원,032-721-9711,032-721-9716,인천광역시,미추홀구,"인천광역시 미추홀구 인주대로 485 (주안동, 지2층 일부, 1~10층)",5,TRUE,TRUE,TRUE,TRUE,TRUE,22147,수도권,126.69065883107,37.4510811574209,28_177
성모원탑병원,병원,032-421-0151,032-421-0075,인천광역시,미추홀구,인천광역시 미추홀구 경인로 488 (주안동) ,5,TRUE,TRUE,TRUE,TRUE,TRUE,22145,수도권,126.6939238502,37.459373360224,28_177
한국보훈복지의료공단 인천보훈병원,병원,032-363-9656,032-363-9800,인천광역시,미추홀구,"인천광역시 미추홀구 인주대로 138 인천보훈병원 지(1,2),1~7층 (용현동) ",4,TRUE,TRUE,TRUE,TRUE,FALSE,22182,수도권,126.652441791201,37.4557383117384,28_177
곧바로병원,병원,032-864-8275,1544-7800,인천광역시,미추홀구,"인천광역시 미추홀구 인주대로 458 승현빌딩 지1,2~11층 (주안동) ",5,TRUE,TRUE,TRUE,TRUE,TRUE,22228,수도권,126.687532467042,37.4505416974745,28_177
더나눔병원,병원,032-888-7755,032-888-7755,인천광역시,미추홀구,인천광역시 미추홀구 독배로 408-1 4~8층 (용현동) ,5,TRUE,TRUE,TRUE,TRUE,TRUE,22183,수도권,126.650142764193,37.455819376431,28_177
정앤정내과소아청소년과의원,내과의원,032-875-3176,032-875-3176,인천광역시,미추홀구,"인천광역시 미추홀구 미추홀대로 663-1 (주안동, 1층 일부, 2층)",4,TRUE,TRUE,TRUE,TRUE,FALSE,22154,수도권,126.679688111909,37.4566918920816,28_177
주산부인과의원,의원,032-420-0136,032-420-0136,인천광역시,미추홀구,인천광역시 미추홀구 경원대로 869 (주안동),0,FALSE,FALSE,FALSE,FALSE,FALSE,22134,수도권,126.689137871359,37.4603920721703,28_177
문영주내과의원,내과의원,032-425-2111,032-425-2111,인천광역시,미추홀구,인천광역시 미추홀구 경인로 485 (주안동),4,TRUE,TRUE,TRUE,TRUE,FALSE,22144,수도권,126.693463752505,37.4597514023295,28_177
한국건강관리협회건강증진의원,의원,032-890-8700,032-884-7131,인천광역시,미추홀구,인천광역시 미추홀구 독배로 500 (숭의동),1,FALSE,FALSE,TRUE,FALSE,FALSE,22172,수도권,126.643682439874,37.462004144421,28_177
삼성의원,의원,032-889-3008,032-889-3008,인천광역시,미추홀구,인천광역시 미추홀구 독정이로 28-1 2층 (용현동) ,1,TRUE,FALSE,FALSE,FALSE,FALSE,22168,수도권,126.654104281875,37.458477209093,28_177
최박내과의원,내과의원,032-420-0092,032-420-0092,인천광역시,미추홀구,인천광역시 미추홀구 경원대로 869 (주안동),4,TRUE,TRUE,TRUE,TRUE,FALSE,22134,수도권,126.689137871359,37.4603920721703,28_177
현대성모의원,의원,032-863-7700,032-863-7700,인천광역시,미추홀구,인천광역시 미추홀구 매소홀로 442 (학익동),2,TRUE,FALSE,TRUE,FALSE,FALSE,22226,수도권,126.671036225808,37.439533615306,28_177
동아의원,의원,032-888-1868,032-887-1868,인천광역시,미추홀구,인천광역시 미추홀구 낙섬중로 105 유원빌딩 4층~6층 (용현동),5,TRUE,TRUE,TRUE,TRUE,TRUE,22175,수도권,126.64130201109,37.456746590876,28_177
현대가정의원,의원,032-214-2214,032-214-2214,인천광역시,미추홀구,인천광역시 미추홀구 매소홀로 355 (학익동),4,TRUE,TRUE,TRUE,TRUE,FALSE,22202,수도권,126.661976343924,37.4414509031689,28_177
인천제일의원,의원,032-883-0380,032-883-0380,인천광역시,미추홀구,인천광역시 미추홀구 경인로 32 (숭의동),4,TRUE,TRUE,TRUE,TRUE,FALSE,22169,수도권,126.646783536392,37.4635753504105,28_177
현대산부인과의원,의원,032-872-5353,032-872-5353,인천광역시,미추홀구,인천광역시 미추홀구 매소홀로 446 대성빌딩 202호 (학익동) ,0,FALSE,FALSE,FALSE,FALSE,FALSE,22226,수도권,126.671743887475,37.4394922440736,28_177
인천의원,의원,032-868-1771,032-868-1771,인천광역시,미추홀구,인천광역시 미추홀구 미추홀대로 581 (주안동),2,TRUE,FALSE,TRUE,FALSE,FALSE,22215,수도권,126.679308100386,37.4493652029863,28_177
양지의원,의원,032-876-7575,032-876-7575,인천광역시,미추홀구,인천광역시 미추홀구 인주대로 186 (용현동),1,TRUE,FALSE,FALSE,FALSE,FALSE,22182,수도권,126.657583509642,37.4551950563119,28_177
기독내과의원,내과의원,032-766-2511,032-766-2511,인천광역시,미추홀구,인천광역시 미추홀구 석정로 123-1 (숭의동),4,TRUE,TRUE,TRUE,TRUE,FALSE,22104,수도권,126.649018442878,37.4688959676518,28_177
오메디칼의원,의원,032-235-9118,032-888-9110,인천광역시,미추홀구,"인천광역시 미추홀구 아암대로 109 청솔프라자 103호, 114호, 2층, 302호, 307호 (용현동) ",5,TRUE,TRUE,TRUE,TRUE,TRUE,22190,수도권,126.632256901271,37.4520218349827,28_177
서울중앙의원,의원,032-874-8500,032-874-8500,인천광역시,미추홀구,인천광역시 미추홀구 한나루로 389 (학익동),1,TRUE,FALSE,FALSE,FALSE,FALSE,22202,수도권,126.663669108263,37.4427109303975,28_177
한사랑내과의원,내과의원,032-865-1171,032-865-1171,인천광역시,미추홀구,"인천광역시 미추홀구 수봉로 22-1 5층 (숭의동, 새마을금고)",5,TRUE,TRUE,TRUE,TRUE,TRUE,22163,수도권,126.656034092573,37.4641041391809,28_177
연세이명래내과의원,내과의원,032-881-7583,032-881-7583,인천광역시,미추홀구,인천광역시 미추홀구 토금중로40번길 11 (용현동),4,TRUE,TRUE,TRUE,TRUE,FALSE,22186,수도권,126.637553548582,37.4520443243149,28_177
인천제일산부인과의원,의원,032-889-7575,032-889-7575,인천광역시,미추홀구,인천광역시 미추홀구 낙섬중로 39-1 (용현동),0,FALSE,FALSE,FALSE,FALSE,FALSE,22186,수도권,126.637406618206,37.4518353801976,28_177
이선덕가정의학과의원,의원,032-441-8275,032-441-8275,인천광역시,미추홀구,인천광역시 미추홀구 경원대로652번길 31 (관교동),0,FALSE,FALSE,FALSE,FALSE,FALSE,22243,수도권,126.694756001366,37.4421755866063,28_177
김철내과의원,내과의원,032-874-8575,032-874-8575,인천광역시,미추홀구,인천광역시 미추홀구 소성로 135 (학익동),5,TRUE,TRUE,TRUE,TRUE,TRUE,22210,수도권,126.664010034327,37.4432929618751,28_177
한사랑여성의원,의원,032-888-9016,032-888-9016,인천광역시,미추홀구,"인천광역시 미추홀구 토금중로 8 4층,5층 (용현동)",0,FALSE,FALSE,FALSE,FALSE,FALSE,22186,수도권,126.634454056653,37.4540661017512,28_177
서울가정의원,의원,032-873-0663,032-873-0663,인천광역시,미추홀구,인천광역시 미추홀구 인주대로266번길 18-1 (용현동),0,FALSE,FALSE,FALSE,FALSE,FALSE,22209,수도권,126.66538223506,37.4518951038811,28_177
하기수내과의원,내과의원,032-873-8275,032-873-8275,인천광역시,미추홀구,인천광역시 미추홀구 석정로 436 (주안동),4,TRUE,TRUE,TRUE,TRUE,FALSE,22129,수도권,126.684017601936,37.4662821678382,28_177
다정한내과의원,내과의원,032-888-9003,032-888-9003,인천광역시,미추홀구,인천광역시 미추홀구 낙섬서로 4 (용현동),4,TRUE,TRUE,TRUE,TRUE,FALSE,22190,수도권,126.633671366499,37.4499931916129,28_177
용현가정의원,의원,032-888-8834,032-888-8834,인천광역시,미추홀구,인천광역시 미추홀구 낙섬중로 101 용현2동주민센터 2일부층 (용현동),2,TRUE,TRUE,FALSE,FALSE,FALSE,22175,수도권,126.641139879648,37.4565925668795,28_177
열린성모내과의원,내과의원,032-441-2421,032-441-2421,인천광역시,미추홀구,인천광역시 미추홀구 경인로 429 (주안동),4,TRUE,TRUE,TRUE,TRUE,FALSE,22141,수도권,126.68788030305,37.458271386667,28_177
인천항외과의원,의원,032-888-6007,032-888-6007,인천광역시,미추홀구,"인천광역시 미추홀구 독배로 309 노블레스타워 6층 601,603호 (용현동)",4,TRUE,TRUE,TRUE,TRUE,FALSE,22188,수도권,126.649257867689,37.4477929074767,28_177
행복한내과의원,내과의원,032-863-3338,032-863-3338,인천광역시,미추홀구,인천광역시 미추홀구 한나루로 591 (도화동),5,TRUE,TRUE,TRUE,TRUE,TRUE,22152,수도권,126.671835662781,37.458864754631,28_177
정내과의원,내과의원,032-424-3844,032-424-3844,인천광역시,미추홀구,인천광역시 미추홀구 미추홀대로719번길 4 3층 일부호 (주안동),4,TRUE,TRUE,TRUE,TRUE,FALSE,22136,수도권,126.679803392448,37.4619414808588,28_177
고려영상의학과의원,의원,032-441-6000,032-441-6000,인천광역시,미추홀구,인천광역시 미추홀구 경원대로 865 (주안동),3,TRUE,FALSE,TRUE,FALSE,TRUE,22134,수도권,126.689120394406,37.4600541479251,28_177
미추산부인과의원,의원,032-865-0270,032-865-0270,인천광역시,미추홀구,인천광역시 미추홀구 석정로 409 동아프라자 2층 201호 (주안동),0,FALSE,FALSE,FALSE,FALSE,FALSE,22125,수도권,126.680969192497,37.4671312857571,28_177
미추홀내과의원,내과의원,032-421-3700,032-421-3700,인천광역시,미추홀구,인천광역시 미추홀구 경원대로 858 (주안동),4,TRUE,TRUE,TRUE,TRUE,FALSE,22144,수도권,126.689843349722,37.4593647035016,28_177
박병도내과의원,내과의원,032-868-2753,032-868-2754,인천광역시,미추홀구,인천광역시 미추홀구 매소홀로 474 (학익동),5,TRUE,TRUE,TRUE,TRUE,TRUE,22223,수도권,126.674711746261,37.4392651949563,28_177
서해사랑내과의원,내과의원,032-891-7575,032-891-7575,인천광역시,미추홀구,인천광역시 미추홀구 아암대로 15 3층 (용현동) ,5,TRUE,TRUE,TRUE,TRUE,TRUE,22175,수도권,126.637907980466,37.4593562811201,28_177
인천헬스케어의원,의원,032-431-2490,032-431-2490,인천광역시,미추홀구,"인천광역시 미추홀구 미추홀대로 694 지하1층 (주안동, 교보생명빌딩)",1,TRUE,FALSE,FALSE,FALSE,FALSE,22140,수도권,126.680458747401,37.4591532820193,28_177
365아이맘의원,의원,032-875-8275,032-875-8275,인천광역시,미추홀구,"인천광역시 미추홀구 소성로 6 지하1층 (용현동, 홈플러스)",0,FALSE,FALSE,FALSE,FALSE,FALSE,22201,수도권,126.650883177732,37.4472348588633,28_177
아이소망산부인과의원,의원,032-883-3643,032-883-3643,인천광역시,미추홀구,"인천광역시 미추홀구 미추로 56 지하1, 1, 2층 (숭의동, 아이소망여성병원)",0,FALSE,FALSE,FALSE,FALSE,FALSE,22161,수도권,126.646076264471,37.4649697952034,28_177
오세원내과의원,내과의원,032-432-5310,032-432-5310,인천광역시,미추홀구,인천광역시 미추홀구 미추홀대로 576 2층 (주안동),1,TRUE,FALSE,FALSE,FALSE,FALSE,22227,수도권,126.68001244946,37.4487691116085,28_177
속시원내과의원,내과의원,032-425-9800,032-425-9800,인천광역시,미추홀구,"인천광역시 미추홀구 미추홀대로 688 2층, 7층 (주안동) ",5,TRUE,TRUE,TRUE,TRUE,TRUE,22140,수도권,126.680671013443,37.4587279489585,28_177
우리내과의원,내과의원,032-724-9515,032-724-9515,인천광역시,미추홀구,인천광역시 미추홀구 낙섬중로 37 2층 (용현동),4,TRUE,TRUE,TRUE,TRUE,FALSE,22186,수도권,126.63727737362,37.4516385636909,28_177
김은아의건강한내과의원,내과의원,032-209-9575,032-209-9575,인천광역시,미추홀구,"인천광역시 미추홀구 독배로 311 5층 501호 (용현동, 비젼프라자)",4,TRUE,TRUE,TRUE,TRUE,FALSE,22188,수도권,126.649120152916,37.4481462350889,28_177
주안지수내과의원,내과의원,032-257-0415,032-257-0415,인천광역시,미추홀구,인천광역시 미추홀구 미추홀대로 696 태성빌딩 4일부층 (주안동),4,TRUE,TRUE,TRUE,TRUE,FALSE,22140,수도권,126.680420255821,37.4595662904024,28_177
제일유외과의원,의원,032-437-1212,032-437-1212,인천광역시,미추홀구,인천광역시 미추홀구 인주대로 410 탑클래시아 201호 (주안동),1,FALSE,FALSE,FALSE,FALSE,TRUE,22227,수도권,126.682051111443,37.4509762318761,28_177
서울아산내과의원,내과의원,032-432-5353,032-432-5353,인천광역시,미추홀구,"인천광역시 미추홀구 인하로 301 3,4층 (주안동)",5,TRUE,TRUE,TRUE,TRUE,TRUE,22227,수도권,126.68170491716,37.4480489090377,28_177
주안속튼튼내과의원,내과의원,032-710-0877,032-710-0877,인천광역시,미추홀구,인천광역시 미추홀구 석정로 391 3층 (주안동),5,TRUE,TRUE,TRUE,TRUE,TRUE,22126,수도권,126.678996824718,37.4671964030442,28_177
연세리더스내과의원,내과의원,032-882-8822,032-882-8822,인천광역시,미추홀구,"인천광역시 미추홀구 독배로 309 노블레스타워 302,303호 (용현동)",5,TRUE,TRUE,TRUE,TRUE,TRUE,22188,수도권,126.649257867689,37.4477929074767,28_177
서울상쾌한내과의원,내과의원,032-887-7772,032-887-7772,인천광역시,미추홀구,인천광역시 미추홀구 낙섬중로 138 미추홀프라자 4층 (용현동),5,TRUE,TRUE,TRUE,TRUE,TRUE,22176,수도권,126.644709555722,37.4582782365127,28_177
도화탑내과의원,내과의원,032-876-6111,032-876-6111,인천광역시,미추홀구,인천광역시 미추홀구 석정로 271 기아자동차 3층일부층 (도화동),5,TRUE,TRUE,TRUE,TRUE,TRUE,22116,수도권,126.665683655376,37.4685741588178,28_177
세영산부인과의원,의원,032-886-8600,032-886-8600,인천광역시,미추홀구,인천광역시 미추홀구 낙섬서로 4 (용현동) ,0,FALSE,FALSE,FALSE,FALSE,FALSE,22190,수도권,126.633671366499,37.4499931916129,28_177
와이(Y)편한산부인과의원,의원,032-888-7975,032-888-7975,인천광역시,미추홀구,인천광역시 미추홀구 인주대로 51 더스테이프라임월드 3층 304~307호 (숭의동),0,FALSE,FALSE,FALSE,FALSE,FALSE,22173,수도권,126.643946125236,37.4592188435731,28_177
장편한내과의원,내과의원,032-874-4004,032-874-4004,인천광역시,미추홀구,인천광역시 미추홀구 숙골로87번길 14 3층 301~304호 (도화동),5,TRUE,TRUE,TRUE,TRUE,TRUE,22100,수도권,126.661994478397,37.4699179669497,28_177
인하여성의원,의원,032-882-9700,032-882-9700,인천광역시,미추홀구,인천광역시 미추홀구 독배로 309 노블레스타워 305호 (용현동),0,FALSE,FALSE,FALSE,FALSE,FALSE,22188,수도권,126.649257867689,37.4477929074767,28_177
더건강한내과의원,내과의원,032-864-2100,032-864-2100,인천광역시,미추홀구,인천광역시 미추홀구 제일로 34 (도화동) ,5,TRUE,TRUE,TRUE,TRUE,TRUE,22153,수도권,126.673938576698,37.4585423380659,28_177
연세예스내과의원,내과의원,032-866-6500,032-866-6500,인천광역시,미추홀구,인천광역시 미추홀구 경인로 347 국제빌딩 2층 (주안동) ,4,TRUE,TRUE,TRUE,TRUE,FALSE,22139,수도권,126.678706489143,37.4588077695521,28_177
아산베스트내과의원,내과의원,032-721-7225,032-721-7225,인천광역시,미추홀구,인천광역시 미추홀구 인하로221번길 6 3~4층 (주안동) ,5,TRUE,TRUE,TRUE,TRUE,TRUE,22214,수도권,126.672999154473,37.4486906288945,28_177
인천위대한내과의원,내과의원,032-888-7119,032-888-7119,인천광역시,미추홀구,인천광역시 미추홀구 독배로 399 영광프라자 301~307호 (용현동) ,5,TRUE,TRUE,TRUE,TRUE,TRUE,22184,수도권,126.649178690971,37.4553819620864,28_177
제이씨(JC)김내과의원,내과의원,032-872-2500,032-872-2500,인천광역시,미추홀구,인천광역시 미추홀구 미추홀대로 573 (주안동) ,5,TRUE,TRUE,TRUE,TRUE,TRUE,22215,수도권,126.679310757488,37.4485309648376,28_177
미리봄내과의원,내과의원,032-424-1212,032-424-1212,인천광역시,미추홀구,"인천광역시 미추홀구 주안로 107 601호, 602호, 605호, 606호 (주안동) ",5,TRUE,TRUE,TRUE,TRUE,TRUE,22133,수도권,126.681728788281,37.464285338792,28_177
주안퀸와이비여성의원,의원,032-425-4254,032-425-4254,인천광역시,미추홀구,"인천광역시 미추홀구 주안로 107 701호, 705호, 706호 (주안동) ",0,FALSE,FALSE,FALSE,FALSE,FALSE,22133,수도권,126.681728788281,37.464285338792,28_177
잘보는김내과의원,내과의원,032-874-1020,032-874-1020,인천광역시,미추홀구,인천광역시 미추홀구 소성로 150 우성메디토피아 3층 (학익동) ,5,TRUE,TRUE,TRUE,TRUE,TRUE,22224,수도권,126.665007903555,37.4423446873032,28_177
성모케이(K)외과의원,의원,032-422-7500,032-422-7500,인천광역시,미추홀구,인천광역시 미추홀구 주안로 107 8층 (주안동) ,5,TRUE,TRUE,TRUE,TRUE,TRUE,22133,수도권,126.681728788281,37.464285338792,28_177
(의)나사렛의료재단 나사렛국제병원,종합병원,032-899-9796,032-899-9999,인천광역시,연수구,인천광역시 연수구 먼우금로 98 (동춘동) ,4,FALSE,TRUE,TRUE,TRUE,TRUE,21972,수도권,126.670483797199,37.4079490183211,28_185
인천적십자병원,종합병원,032-899-4000,032-899-4000,인천광역시,연수구,인천광역시 연수구 원인재로 263 (연수동) ,5,TRUE,TRUE,TRUE,TRUE,TRUE,21935,수도권,126.689932500245,37.4184275478229,28_185
나래병원,병원,032-821-0033,032-821-0033,인천광역시,연수구,인천광역시 연수구 청능대로 69 나래병원 (청학동) ,5,TRUE,TRUE,TRUE,TRUE,TRUE,21926,수도권,126.674123952588,37.4160101334567,28_185
송도우리아이병원,병원,032-834-2553,070-4947-3870,인천광역시,연수구,"인천광역시 연수구 송도미래로11번길 27-0 스마트스퀘어B동210~212호,5층 ",0,FALSE,FALSE,FALSE,FALSE,FALSE,21988,수도권,126.649404275884,37.3710919643452,28_185
김웅철산부인과의원,의원,032-815-5252,032-814-5252,인천광역시,연수구,인천광역시 연수구 용담로 135 (연수동),0,FALSE,FALSE,FALSE,FALSE,FALSE,21929,수도권,126.679398560636,37.4138543692118,28_185
